"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.6818,-0.43211,-0.050078,3.93e-021,0.71802,0.0001401,5396.5,0.028252,0.0032908,-8.1746e-022,1,0.024805,0.024805,-0.025,0
-7.608,-0.42329,-0.052727,2.5756e-021,0.72548,0.00014124,5423.6,0.027906,0.0034766,-5.3558e-022,1,0.02501,0.02501,-0.025,0
-7.5343,-0.41446,-0.055378,1.2207e-021,0.73294,0.00014238,5450.7,0.027561,0.0036623,-2.5377e-022,1,0.025215,0.025215,-0.025,0
-7.4611,-0.40551,-0.058041,-1.2354e-022,0.74037,0.00014351,5477.6,0.027207,0.0038492,2.2586e-023,1,0.02542,0.02542,-0.025,0
-7.3926,-0.39539,-0.060803,-1.3669e-021,0.74756,0.00014459,5502.8,0.026784,0.0040467,2.4984e-022,1,0.025625,0.025625,-0.025,0
-7.3241,-0.38528,-0.063565,-2.6108e-021,0.75475,0.00014567,5527.9,0.026362,0.0042441,4.7705e-022,1,0.02583,0.02583,-0.025,0
-7.2556,-0.37515,-0.066329,-3.8551e-021,0.76194,0.00014675,5553,0.025939,0.0044416,7.0422e-022,1,0.026035,0.026035,-0.025,0
-7.191,-0.36434,-0.069193,-4.4049e-021,0.76899,0.00014779,5578.2,0.025464,0.0046572,8.0444e-022,1,0.02624,0.02624,-0.025,0
-7.1294,-0.35297,-0.072136,-4.4057e-021,0.77593,0.00014879,5603.3,0.024948,0.0048873,8.0436e-022,1,0.026445,0.026445,-0.025,0
-7.0679,-0.34159,-0.07508,-4.4064e-021,0.78286,0.0001498,5628.5,0.024433,0.0051173,8.0428e-022,1,0.02665,0.02665,-0.025,0
-7.0063,-0.33022,-0.078026,-4.4072e-021,0.7898,0.0001508,5653.7,0.023917,0.0053472,8.042e-022,1,0.026855,0.026855,-0.025,0
-6.953,-0.31712,-0.081027,-3.2441e-021,0.79627,0.00015164,5680.1,0.02326,0.0055618,7.694e-022,1,0.02706,0.02706,-0.025,0
-6.8998,-0.30401,-0.084029,-2.0691e-021,0.80273,0.00015248,5706.6,0.022601,0.0057762,7.3428e-022,1,0.027265,0.027265,-0.025,0
-6.8466,-0.29089,-0.087033,-8.9369e-022,0.80919,0.00015332,5733.1,0.021942,0.0059906,6.9915e-022,1,0.02747,0.02747,-0.025,0
-6.7969,-0.27723,-0.090013,3.4165e-022,0.8154,0.00015413,5758,0.021262,0.0061839,6.0654e-022,1,0.027675,0.027675,-0.025,0
-6.7523,-0.26272,-0.092954,1.6689e-021,0.82122,0.00015489,5780.5,0.020549,0.0063449,4.256e-022,1,0.02788,0.02788,-0.025,0
-6.7078,-0.24822,-0.095896,2.9967e-021,0.82704,0.00015565,5803,0.019836,0.0065058,2.4469e-022,1,0.028085,0.028085,-0.025,0
-6.6632,-0.2337,-0.09884,4.3249e-021,0.83286,0.00015642,5825.5,0.019124,0.0066667,6.3812e-023,1,0.02829,0.02829,-0.025,0
-6.6255,-0.21892,-0.102,4.6691e-021,0.83852,0.00015722,5840.8,0.018438,0.0069002,-1.2064e-022,1,0.028495,0.028495,-0.025,0
-6.5898,-0.20405,-0.10523,4.7197e-021,0.84412,0.00015804,5854,0.01776,0.0071553,-3.0614e-022,1,0.0287,0.0287,-0.025,0
-6.5541,-0.18917,-0.10846,4.7702e-021,0.84973,0.00015885,5867.1,0.017082,0.0074104,-4.916e-022,1,0.028905,0.028905,-0.025,0
-6.5195,-0.17409,-0.11172,4.7675e-021,0.85529,0.00015967,5879.5,0.016375,0.0076837,-6.4583e-022,1,0.02911,0.02911,-0.025,0
-6.4927,-0.15756,-0.11516,4.3658e-021,0.86053,0.00016049,5886.5,0.01545,0.0080939,-5.6679e-022,1,0.029315,0.029315,-0.025,0
-6.4659,-0.14103,-0.11861,3.964e-021,0.86576,0.00016131,5893.4,0.014524,0.0085041,-4.8776e-022,1,0.02952,0.02952,-0.025,0
-6.4392,-0.12449,-0.12206,3.562e-021,0.871,0.00016214,5900.3,0.013598,0.0089142,-4.0875e-022,1,0.029725,0.029725,-0.025,0
-6.4158,-0.10687,-0.12513,3.5204e-021,0.87554,0.0001629,5905.8,0.012495,0.0092822,-3.761e-022,1,0.02993,0.02993,-0.025,0
-6.397,-0.087867,-0.12774,3.9425e-021,0.87919,0.00016357,5909.3,0.011161,0.0095961,-4.0306e-022,1,0.030135,0.030135,-0.025,0
-6.3781,-0.068856,-0.13034,4.3648e-021,0.88285,0.00016425,5912.9,0.0098286,0.0099099,-4.3001e-022,1,0.03034,0.03034,-0.025,0
-6.3593,-0.049838,-0.13294,4.7872e-021,0.8865,0.00016493,5916.5,0.008496,0.010224,-4.5695e-022,1,0.030545,0.030545,-0.025,0
-6.3455,-0.030344,-0.13453,4.2524e-021,0.8887,0.00016539,5918.5,0.0070784,0.010375,-3.9331e-022,1,0.03075,0.03075,-0.025,0
-6.3337,-0.010667,-0.13575,3.3599e-021,0.89036,0.00016577,5919.9,0.0056293,0.010465,-2.9586e-022,1,0.030955,0.030955,-0.025,0
-6.3219,0.0090167,-0.13696,2.4671e-021,0.89202,0.00016615,5921.3,0.0041805,0.010556,-1.9844e-022,1,0.03116,0.03116,-0.025,0
-6.3101,0.028707,-0.13818,1.574e-021,0.89367,0.00016653,5922.7,0.0027319,0.010646,-1.0103e-022,1,0.031365,0.031365,-0.025,0
-6.3053,0.048409,-0.13842,1.154e-021,0.89382,0.00016667,5918,0.0013178,0.010632,-7.3761e-023,1,0.03157,0.03157,-0.025,0
-6.3006,0.068119,-0.13865,7.3854e-022,0.89396,0.0001668,5913.3,-9.574e-005,0.010617,-4.7195e-023,1,0.031775,0.031775,-0.025,0
-6.296,0.087835,-0.13888,3.2299e-022,0.89409,0.00016694,5908.6,-0.001509,0.010602,-2.0634e-023,1,0.03198,0.03198,-0.025,0
-6.2929,0.10762,-0.13897,0,0.89399,0.00016703,5901.7,-0.0029194,0.010578,0,1,0.032185,0.032185,-0.025,0
-6.2956,0.12761,-0.1386,0,0.89306,0.00016696,5887.1,-0.0043208,0.010525,0,1,0.03239,0.03239,-0.025,0
-6.2983,0.14761,-0.13823,0,0.89212,0.00016689,5872.5,-0.0057219,0.010472,0,1,0.032595,0.032595,-0.025,0
-6.301,0.16762,-0.13786,0,0.89119,0.00016683,5857.9,-0.0071227,0.010419,0,1,0.0328,0.0328,-0.025,0
-6.3067,0.18762,-0.1373,0,0.88966,0.00016667,5839.5,-0.0085078,0.010353,0,1,0.033005,0.033005,-0.025,0
-6.3164,0.2076,-0.13649,0,0.88735,0.00016638,5816.2,-0.009872,0.010267,0,1,0.03321,0.03321,-0.025,0
-6.3262,0.2276,-0.13568,0,0.88504,0.00016609,5792.8,-0.011236,0.010182,0,1,0.033415,0.033415,-0.025,0
-6.3359,0.2476,-0.13486,0,0.88272,0.0001658,5769.5,-0.012599,0.010096,0,1,0.03362,0.03362,-0.025,0
-6.3494,0.2674,-0.13382,0,0.87897,0.00016542,5740.9,-0.013918,0.0099925,0,1,0.033825,0.033825,-0.025,0
-6.3653,0.28707,-0.13263,0,0.87426,0.00016496,5708.9,-0.015207,0.0098764,0,1,0.03403,0.03403,-0.025,0
-6.3813,0.30674,-0.13144,0,0.86955,0.0001645,5676.9,-0.016495,0.0097603,0,1,0.034235,0.034235,-0.025,0
-6.3973,0.32643,-0.13025,0,0.86483,0.00016404,5644.8,-0.017783,0.0096442,0,1,0.03444,0.03444,-0.025,0
-6.4171,0.34563,-0.12879,1.6918e-022,0.85804,0.00016355,5606.4,-0.018985,0.0095053,-6.825e-023,1,0.034645,0.034645,-0.025,0
-6.4382,0.36467,-0.12723,3.9632e-022,0.85054,0.00016304,5565.8,-0.020156,0.0093586,-1.5984e-022,1,0.03485,0.03485,-0.025,0
-6.4594,0.38372,-0.12568,6.2354e-022,0.84303,0.00016254,5525.2,-0.021327,0.009212,-2.5141e-022,1,0.035055,0.035055,-0.025,0
-6.4805,0.40278,-0.12412,8.5084e-022,0.83553,0.00016204,5484.7,-0.022497,0.0090653,-3.4297e-022,1,0.03526,0.03526,-0.025,0
