"p","U:0","U:1","U:2","nuTilda","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-13.918,-1.6536,0.069581,-5.8436e-023,0.00010297,0.000104,0.078498,-0.0044279,6.1425e-023,1,0.02214,0.02214,-0.025,0
-13.987,-1.6626,0.066908,-4.8867e-022,0.00010351,0.00010462,0.079571,-0.0042896,2.9115e-022,1,0.022345,0.022345,-0.025,0
-14.056,-1.6716,0.064233,-9.1905e-022,0.00010405,0.00010523,0.080643,-0.0041513,5.2082e-022,1,0.02255,0.02255,-0.025,0
-14.114,-1.6795,0.061846,-9.2288e-022,0.00010456,0.00010581,0.081602,-0.0040203,5.2272e-022,1,0.022755,0.022755,-0.025,0
-14.171,-1.6873,0.059461,-9.2304e-022,0.00010507,0.00010638,0.08256,-0.0038894,5.2267e-022,1,0.02296,0.02296,-0.025,0
-14.229,-1.6952,0.057075,-9.232e-022,0.00010558,0.00010695,0.083518,-0.0037584,5.2262e-022,1,0.023165,0.023165,-0.025,0
-14.28,-1.7025,0.054831,-6.4503e-022,0.00010607,0.00010751,0.084416,-0.0036318,3.5369e-022,1,0.02337,0.02337,-0.025,0
-14.326,-1.7093,0.052698,-1.4688e-022,0.00010656,0.00010805,0.085267,-0.0035086,5.1398e-023,1,0.023575,0.023575,-0.025,0
-14.372,-1.7161,0.050564,3.5144e-022,0.00010704,0.00010859,0.086118,-0.0033854,-2.5083e-022,1,0.02378,0.02378,-0.025,0
-14.417,-1.7229,0.048451,8.0048e-022,0.00010752,0.00010913,0.086958,-0.0032629,-5.2302e-022,1,0.023985,0.023985,-0.025,0
-14.452,-1.7288,0.046534,8.0062e-022,0.00010799,0.00010964,0.087708,-0.0031471,-5.2296e-022,1,0.02419,0.02419,-0.025,0
-14.487,-1.7347,0.044617,8.0076e-022,0.00010845,0.00011015,0.088458,-0.0030313,-5.2291e-022,1,0.024395,0.024395,-0.025,0
-14.522,-1.7406,0.042699,8.009e-022,0.00010891,0.00011066,0.089208,-0.0029156,-5.2286e-022,1,0.0246,0.0246,-0.025,0
-14.551,-1.7461,0.040894,6.6132e-022,0.00010936,0.00011116,0.0899,-0.0028041,-4.3162e-022,1,0.024805,0.024805,-0.025,0
-14.576,-1.7511,0.039161,4.334e-022,0.0001098,0.00011164,0.090555,-0.0026953,-2.8279e-022,1,0.02501,0.02501,-0.025,0
-14.6,-1.7562,0.037427,2.0541e-022,0.00011025,0.00011213,0.091211,-0.0025864,-1.3399e-022,1,0.025215,0.025215,-0.025,0
-14.624,-1.7612,0.035708,-1.887e-023,0.00011069,0.00011261,0.091857,-0.0024783,1.4544e-023,1,0.02542,0.02542,-0.025,0
-14.639,-1.7656,0.034131,-2.0879e-022,0.00011111,0.00011306,0.092423,-0.0023758,1.6088e-022,1,0.025625,0.025625,-0.025,0
-14.654,-1.7699,0.032553,-3.9878e-022,0.00011153,0.00011352,0.09299,-0.0022733,3.0719e-022,1,0.02583,0.02583,-0.025,0
-14.669,-1.7743,0.030974,-5.8883e-022,0.00011195,0.00011398,0.093556,-0.0021709,4.5347e-022,1,0.026035,0.026035,-0.025,0
-14.678,-1.7782,0.02947,-6.7281e-022,0.00011235,0.00011442,0.094075,-0.0020716,5.1801e-022,1,0.02624,0.02624,-0.025,0
-14.684,-1.7818,0.028024,-6.7293e-022,0.00011275,0.00011484,0.094557,-0.001975,5.1796e-022,1,0.026445,0.026445,-0.025,0
-14.689,-1.7855,0.026577,-6.7305e-022,0.00011315,0.00011527,0.095039,-0.0018783,5.1791e-022,1,0.02665,0.02665,-0.025,0
-14.695,-1.7891,0.02513,-6.7317e-022,0.00011354,0.0001157,0.095521,-0.0017817,5.1786e-022,1,0.026855,0.026855,-0.025,0
-14.691,-1.7922,0.023796,1.6376e-021,0.00011392,0.00011609,0.095924,-0.0016903,5.1603e-022,1,0.02706,0.02706,-0.025,0
-14.688,-1.7952,0.022463,3.9718e-021,0.00011429,0.00011649,0.096326,-0.0015991,5.1418e-022,1,0.027265,0.027265,-0.025,0
-14.685,-1.7982,0.021129,6.3069e-021,0.00011466,0.00011689,0.096727,-0.0015078,5.1233e-022,1,0.02747,0.02747,-0.025,0
-14.678,-1.801,0.019834,7.787e-021,0.00011502,0.00011727,0.097099,-0.0014187,4.5606e-022,1,0.027675,0.027675,-0.025,0
-14.666,-1.8034,0.0186,7.9521e-021,0.00011537,0.00011764,0.097425,-0.0013327,3.1614e-022,1,0.02788,0.02788,-0.025,0
-14.654,-1.8058,0.017365,8.1172e-021,0.00011572,0.00011801,0.09775,-0.0012468,1.7625e-022,1,0.028085,0.028085,-0.025,0
-14.642,-1.8083,0.01613,8.2824e-021,0.00011607,0.00011838,0.098075,-0.0011609,3.6393e-023,1,0.02829,0.02829,-0.025,0
-14.624,-1.8103,0.014964,6.6919e-021,0.0001164,0.00011872,0.098345,-0.0010793,-1.0351e-022,1,0.028495,0.028495,-0.025,0
-14.605,-1.8122,0.013819,4.5768e-021,0.00011672,0.00011906,0.098597,-0.00099895,-2.4339e-022,1,0.0287,0.0287,-0.025,0
-14.585,-1.8141,0.012674,2.4609e-021,0.00011704,0.0001194,0.098849,-0.00091865,-3.8326e-022,1,0.028905,0.028905,-0.025,0
-14.564,-1.8159,0.011539,5.9296e-022,0.00011736,0.00011974,0.099094,-0.00083911,-5.0626e-022,1,0.02911,0.02911,-0.025,0
