"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.9358,-0.17708,0.018332,-9.2063e-021,8.0591,0.13402,8.2826e-005,0.0048565,-0.00058062,2.6868e-022,1,0.017015,0.017015,-0.025,0
-6.941,-0.18089,0.018454,-8.6068e-021,8.0793,0.13511,8.3499e-005,0.0049606,-0.00058329,3.8654e-022,1,0.01722,0.01722,-0.025,0
-6.9463,-0.18473,0.018596,-6.195e-021,8.0956,0.13627,8.4226e-005,0.0050676,-0.00058715,3.8651e-022,1,0.017425,0.017425,-0.025,0
-6.9516,-0.18858,0.018738,-3.7825e-021,8.1118,0.13743,8.4953e-005,0.0051747,-0.00059102,3.8647e-022,1,0.01763,0.01763,-0.025,0
-6.957,-0.19246,0.018847,-1.8858e-021,8.1301,0.1386,8.5662e-005,0.0052848,-0.00059196,3.5187e-022,1,0.017835,0.017835,-0.025,0
-6.9624,-0.19639,0.018874,-1.2491e-021,8.1532,0.13979,8.6328e-005,0.0054024,-0.0005858,2.3301e-022,1,0.01804,0.01804,-0.025,0
-6.9679,-0.20032,0.018902,-6.122e-022,8.1763,0.14097,8.6994e-005,0.0055199,-0.00057964,1.1417e-022,1,0.018245,0.018245,-0.025,0
-6.9734,-0.20426,0.018919,0,8.2,0.14216,8.7657e-005,0.0056372,-0.00057254,0,1,0.01845,0.01845,-0.025,0
-6.979,-0.20827,0.018679,0,8.2392,0.14338,8.8237e-005,0.005749,-0.0005422,0,1,0.018655,0.018655,-0.025,0
-6.9847,-0.21228,0.018438,0,8.2784,0.14459,8.8817e-005,0.0058608,-0.00051187,0,1,0.01886,0.01886,-0.025,0
-6.9903,-0.2163,0.018198,0,8.3176,0.14581,8.9397e-005,0.0059725,-0.00048155,0,1,0.019065,0.019065,-0.025,0
-6.9961,-0.22034,0.018077,-1.7379e-021,8.3911,0.14725,9.0034e-005,0.0060676,-0.00046128,0,1,0.01927,0.01927,-0.025,0
-7.002,-0.22438,0.017993,-4.0186e-021,8.4752,0.14875,9.069e-005,0.0061575,-0.00044414,0,1,0.019475,0.019475,-0.025,0
-7.0079,-0.22843,0.017909,-6.3001e-021,8.5594,0.15026,9.1346e-005,0.0062473,-0.00042701,0,1,0.01968,0.01968,-0.025,0
-7.014,-0.23248,0.018089,-8.5331e-021,8.6653,0.15178,9.1829e-005,0.0063399,-0.00043448,0,1,0.019885,0.019885,-0.025,0
-7.0204,-0.23655,0.01858,-1.0709e-020,8.7967,0.1533,9.2108e-005,0.0064356,-0.00047085,0,1,0.02009,0.02009,-0.025,0
-7.0268,-0.24062,0.019072,-1.2885e-020,8.9281,0.15483,9.2388e-005,0.0065313,-0.0005072,0,1,0.020295,0.020295,-0.025,0
-7.0333,-0.2447,0.019592,-1.4423e-020,9.0585,0.1563,9.2624e-005,0.0066308,-0.00054657,-1.282e-023,1,0.0205,0.0205,-0.025,0
-7.0404,-0.24886,0.020304,-1.1746e-020,9.1819,0.15736,9.2574e-005,0.0067554,-0.00060584,-1.1011e-022,1,0.020705,0.020705,-0.025,0
-7.0475,-0.25303,0.021016,-9.0691e-021,9.3053,0.15842,9.2523e-005,0.0068799,-0.00066509,-2.0737e-022,1,0.02091,0.02091,-0.025,0
-7.0546,-0.25719,0.021728,-6.3909e-021,9.4287,0.15949,9.2473e-005,0.0070044,-0.00072433,-3.0462e-022,1,0.021115,0.021115,-0.025,0
-7.0621,-0.26144,0.022363,-4.1297e-021,9.5375,0.16034,9.2516e-005,0.0071358,-0.00077877,-3.262e-022,1,0.02132,0.02132,-0.025,0
-7.0698,-0.26571,0.022977,-1.9871e-021,9.6421,0.16113,9.2585e-005,0.0072693,-0.00083183,-3.2617e-022,1,0.021525,0.021525,-0.025,0
-7.0775,-0.26998,0.023591,1.5633e-022,9.7467,0.16193,9.2655e-005,0.0074027,-0.00088487,-3.2614e-022,1,0.02173,0.02173,-0.025,0
-7.0852,-0.27429,0.024224,9.6651e-022,9.8534,0.16263,9.2637e-005,0.007532,-0.0009403,-2.1632e-022,1,0.021935,0.021935,-0.025,0
-7.0932,-0.27864,0.024887,-2.4287e-022,9.9633,0.16322,9.2487e-005,0.0076551,-0.00099933,5.9668e-023,1,0.02214,0.02214,-0.025,0
-7.1011,-0.283,0.025551,-1.4527e-021,10.073,0.1638,9.2338e-005,0.0077782,-0.0010583,3.356e-022,1,0.022345,0.022345,-0.025,0
-7.109,-0.28736,0.026214,-2.6629e-021,10.183,0.16438,9.2188e-005,0.0079013,-0.0011174,6.1148e-022,1,0.02255,0.02255,-0.025,0
-7.117,-0.29171,0.027303,-2.6737e-021,10.289,0.16473,9.1835e-005,0.0080471,-0.0012124,6.1377e-022,1,0.022755,0.022755,-0.025,0
-7.125,-0.29608,0.028396,-2.6741e-021,10.395,0.16508,9.1479e-005,0.0081932,-0.0013078,6.1371e-022,1,0.02296,0.02296,-0.025,0
-7.133,-0.30044,0.029489,-2.6746e-021,10.5,0.16543,9.1124e-005,0.0083392,-0.0014031,6.1365e-022,1,0.023165,0.023165,-0.025,0
-7.141,-0.30483,0.030143,-1.4159e-021,10.58,0.16561,9.0898e-005,0.0085159,-0.0014584,3.9112e-022,1,0.02337,0.02337,-0.025,0
-7.1489,-0.30925,0.03045,8.379e-022,10.639,0.16566,9.0774e-005,0.0087169,-0.0014821,-7.0708e-024,1,0.023575,0.023575,-0.025,0
-7.1568,-0.31367,0.030758,3.0925e-021,10.698,0.1657,9.065e-005,0.0089178,-0.0015058,-4.0518e-022,1,0.02378,0.02378,-0.025,0
-7.1647,-0.31811,0.030879,5.1242e-021,10.765,0.16573,9.0455e-005,0.0091158,-0.0015128,-7.6373e-022,1,0.023985,0.023985,-0.025,0
-7.1727,-0.32268,0.029308,5.1251e-021,10.904,0.16562,8.9609e-005,0.0092872,-0.0013688,-7.6365e-022,1,0.02419,0.02419,-0.025,0
-7.1806,-0.32725,0.027737,5.126e-021,11.042,0.16551,8.8763e-005,0.0094585,-0.0012249,-7.6358e-022,1,0.024395,0.024395,-0.025,0
-7.1886,-0.33182,0.026165,5.1269e-021,11.18,0.1654,8.7917e-005,0.0096297,-0.001081,-7.635e-022,1,0.0246,0.0246,-0.025,0
-7.1966,-0.33627,0.024846,4.2334e-021,13.648,0.16565,8.4378e-005,0.0097525,-0.00095696,-6.3026e-022,1,0.024805,0.024805,-0.025,0
-7.2046,-0.34065,0.023686,2.7744e-021,17.586,0.16612,7.9136e-005,0.0098445,-0.00084547,-4.1294e-022,1,0.02501,0.02501,-0.025,0
-7.2126,-0.34503,0.022526,1.3149e-021,21.523,0.1666,7.3892e-005,0.0099365,-0.000734,-1.9566e-022,1,0.025215,0.025215,-0.025,0
-7.2206,-0.34938,0.021491,-1.4926e-022,25.474,0.1672,6.8778e-005,0.010032,-0.00063417,2.1008e-023,1,0.02542,0.02542,-0.025,0
-7.2284,-0.35352,0.021593,-1.6515e-021,29.545,0.16899,6.4857e-005,0.010156,-0.00063958,2.3238e-022,1,0.025625,0.025625,-0.025,0
-7.2361,-0.35766,0.021695,-3.1543e-021,33.616,0.17078,6.0934e-005,0.010279,-0.00064499,4.4372e-022,1,0.02583,0.02583,-0.025,0
-7.2439,-0.3618,0.021798,-4.6575e-021,37.687,0.17257,5.701e-005,0.010403,-0.0006504,6.5501e-022,1,0.026035,0.026035,-0.025,0
-7.2516,-0.36594,0.02199,-5.3218e-021,39.916,0.17473,5.5591e-005,0.010562,-0.00066854,7.4822e-022,1,0.02624,0.02624,-0.025,0
-7.2593,-0.37008,0.022253,-5.3227e-021,40.691,0.17718,5.6152e-005,0.010749,-0.00069674,7.4815e-022,1,0.026445,0.026445,-0.025,0
-7.2669,-0.37422,0.022516,-5.3237e-021,41.466,0.17964,5.6714e-005,0.010936,-0.00072493,7.4808e-022,1,0.02665,0.02665,-0.025,0
-7.2746,-0.37836,0.022779,-5.3246e-021,42.241,0.18209,5.7276e-005,0.011123,-0.00075312,7.48e-022,1,0.026855,0.026855,-0.025,0
-7.2826,-0.3825,0.022989,-2.068e-021,43.105,0.18441,5.7717e-005,0.011323,-0.0007777,7.4275e-022,1,0.02706,0.02706,-0.025,0
-7.2906,-0.38664,0.0232,1.2217e-021,43.97,0.18674,5.8157e-005,0.011523,-0.00080223,7.3745e-022,1,0.027265,0.027265,-0.025,0
-7.2986,-0.39078,0.02341,4.5127e-021,44.835,0.18906,5.8597e-005,0.011723,-0.00082677,7.3216e-022,1,0.02747,0.02747,-0.025,0
-7.3068,-0.39493,0.023542,7.0206e-021,45.695,0.19142,5.9061e-005,0.011927,-0.00084458,6.5057e-022,1,0.027675,0.027675,-0.025,0
-7.315,-0.39907,0.023555,8.3243e-021,46.547,0.19382,5.9559e-005,0.012136,-0.00085207,4.5177e-022,1,0.02788,0.02788,-0.025,0
-7.3233,-0.40322,0.023568,9.6284e-021,47.399,0.19622,6.0058e-005,0.012346,-0.00085955,2.5301e-022,1,0.028085,0.028085,-0.025,0
-7.3316,-0.40736,0.023581,1.0933e-020,48.251,0.19862,6.0557e-005,0.012555,-0.00086703,5.4287e-023,1,0.02829,0.02829,-0.025,0
-7.3399,-0.41147,0.023536,9.8611e-021,49.159,0.20108,6.1054e-005,0.012765,-0.00086952,-1.4503e-022,1,0.028495,0.028495,-0.025,0
-7.3483,-0.41556,0.023474,8.0796e-021,50.085,0.20356,6.1549e-005,0.012974,-0.00087051,-3.445e-022,1,0.0287,0.0287,-0.025,0
-7.3566,-0.41965,0.023411,6.2973e-021,51.01,0.20603,6.2045e-005,0.013183,-0.00087151,-5.4393e-022,1,0.028905,0.028905,-0.025,0
-7.365,-0.42374,0.023351,4.7136e-021,51.937,0.20851,6.2541e-005,0.013392,-0.00087272,-7.1927e-022,1,0.02911,0.02911,-0.025,0
-7.3734,-0.42777,0.023302,4.6184e-021,52.878,0.21099,6.304e-005,0.013601,-0.00087557,-7.1469e-022,1,0.029315,0.029315,-0.025,0
-7.3819,-0.43181,0.023253,4.5231e-021,53.819,0.21348,6.354e-005,0.01381,-0.00087842,-7.1012e-022,1,0.02952,0.02952,-0.025,0
-7.3903,-0.43585,0.023204,4.4277e-021,54.761,0.21597,6.404e-005,0.014019,-0.00088127,-7.0555e-022,1,0.029725,0.029725,-0.025,0
