"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.8928,0.018379,0.0020548,-5.7285e-020,0.0026415,1.9262e-006,2320.5,-0.0013941,0.00032741,0,1,0.01968,0.01968,-0.025,0
-8.8934,0.013252,0.0038541,-7.4195e-020,0.0030797,2.057e-006,2340.7,-0.0013953,0.00033523,0,1,0.019885,0.019885,-0.025,0
-8.8941,0.0070564,0.0059644,-8.6598e-020,0.0036798,2.2539e-006,2361.9,-0.0013935,0.00033946,0,1,0.02009,0.02009,-0.025,0
-8.8948,0.00085821,0.0080754,-9.9006e-020,0.0042801,2.4508e-006,2383.1,-0.0013918,0.00034369,0,1,0.020295,0.020295,-0.025,0
-8.8956,-0.0055294,0.010285,-1.0564e-019,0.0049623,2.6791e-006,2403.6,-0.0013864,0.00034174,-1.2865e-022,1,0.0205,0.0205,-0.025,0
-8.8964,-0.013153,0.013143,-7.42e-020,0.006184,3.1129e-006,2419.6,-0.0013573,0.00029913,-1.1049e-021,1,0.020705,0.020705,-0.025,0
-8.8972,-0.02078,0.016002,-4.2749e-020,0.007406,3.547e-006,2435.6,-0.0013281,0.00025653,-2.081e-021,1,0.02091,0.02091,-0.025,0
-8.898,-0.028409,0.018862,-1.1287e-020,0.0086283,3.9811e-006,2451.6,-0.001299,0.00021394,-3.0569e-021,1,0.021115,0.021115,-0.025,0
-8.8987,-0.037066,0.022137,5.2038e-021,0.010373,4.5412e-006,2462.2,-0.001217,0.00012044,-3.2735e-021,1,0.02132,0.02132,-0.025,0
-8.8993,-0.046019,0.025532,1.7419e-020,0.012268,5.1373e-006,2471.2,-0.0011198,1.2411e-005,-3.2731e-021,1,0.021525,0.021525,-0.025,0
-8.8999,-0.054976,0.028928,2.9639e-020,0.014163,5.7337e-006,2480.2,-0.0010227,-9.5593e-005,-3.2728e-021,1,0.02173,0.02173,-0.025,0
-8.9006,-0.064645,0.032212,2.3373e-020,0.016838,6.3978e-006,2487.3,-0.0008821,-0.00020899,-2.1667e-021,1,0.021935,0.021935,-0.025,0
-8.9014,-0.075392,0.035326,-1.0893e-020,0.020692,7.1644e-006,2491.6,-0.00067574,-0.00033055,6.1333e-022,1,0.02214,0.02214,-0.025,0
-8.9022,-0.086143,0.038441,-4.5171e-020,0.024547,7.9312e-006,2495.9,-0.00046942,-0.0004521,3.3928e-021,1,0.022345,0.022345,-0.025,0
-8.903,-0.096898,0.041557,-7.9461e-020,0.028402,8.6983e-006,2500.1,-0.00026313,-0.00057362,6.1716e-021,1,0.02255,0.02255,-0.025,0
-8.9047,-0.10913,0.044221,-7.9767e-020,0.03611,9.7765e-006,2502.2,2.2754e-005,-0.00068023,6.1947e-021,1,0.022755,0.022755,-0.025,0
-8.9065,-0.12137,0.046882,-7.9781e-020,0.043852,1.0858e-005,2504.2,0.00030927,-0.0007867,6.1941e-021,1,0.02296,0.02296,-0.025,0
-8.9083,-0.13363,0.049545,-7.9795e-020,0.051593,1.1939e-005,2506.2,0.00059573,-0.00089315,6.1935e-021,1,0.023165,0.023165,-0.025,0
-8.9111,-0.14614,0.052163,-6.3097e-020,0.060438,1.3087e-005,2507.2,0.00090175,-0.0010094,4.8199e-021,1,0.02337,0.02337,-0.025,0
-8.9147,-0.15886,0.054746,-3.319e-020,0.070154,1.4288e-005,2507.3,0.0012232,-0.0011335,2.3622e-021,1,0.023575,0.023575,-0.025,0
-8.9183,-0.17159,0.057331,-3.2733e-021,0.07987,1.5489e-005,2507.5,0.0015446,-0.0012575,-9.501e-023,1,0.02378,0.02378,-0.025,0
-8.9221,-0.18435,0.059879,2.3685e-020,0.089278,1.6658e-005,2507.6,0.0018707,-0.0013824,-2.308e-021,1,0.023985,0.023985,-0.025,0
-8.9278,-0.19731,0.062094,2.3689e-020,0.095891,1.7526e-005,2506.8,0.00224,-0.0015158,-2.3078e-021,1,0.02419,0.02419,-0.025,0
-8.9335,-0.21029,0.06431,2.3693e-020,0.1025,1.8395e-005,2506.1,0.0026093,-0.0016491,-2.3076e-021,1,0.024395,0.024395,-0.025,0
-8.9392,-0.22327,0.066527,2.3697e-020,0.10912,1.9265e-005,2505.3,0.0029784,-0.0017824,-2.3073e-021,1,0.0246,0.0246,-0.025,0
-8.9461,-0.23633,0.068265,1.9567e-020,0.11167,1.9627e-005,2545.8,0.0033763,-0.0018996,-1.9047e-021,1,0.024805,0.024805,-0.025,0
-8.9538,-0.24946,0.069701,1.2823e-020,0.11166,1.9669e-005,2612.4,0.0037923,-0.0020067,-1.2479e-021,1,0.02501,0.02501,-0.025,0
-8.9615,-0.26259,0.071138,6.0776e-021,0.11164,1.9711e-005,2679,0.0042082,-0.0021138,-5.9128e-022,1,0.025215,0.025215,-0.025,0
-8.9695,-0.27571,0.072488,-2.6284e-022,0.11176,1.9761e-005,2746.4,0.0046262,-0.0022167,3.3846e-023,1,0.02542,0.02542,-0.025,0
-8.9794,-0.28867,0.073051,-2.9083e-021,0.11307,1.9883e-005,2821.3,0.0050644,-0.0022823,3.744e-022,1,0.025625,0.025625,-0.025,0
-8.9893,-0.30163,0.073613,-5.5548e-021,0.11437,2.0004e-005,2896.2,0.0055025,-0.0023479,7.1489e-022,1,0.02583,0.02583,-0.025,0
-8.9992,-0.3146,0.074176,-8.2021e-021,0.11568,2.0126e-005,2971,0.0059405,-0.0024135,1.0553e-021,1,0.026035,0.026035,-0.025,0
-9.0105,-0.32729,0.074359,-9.3719e-021,0.11858,2.0504e-005,3015.7,0.0063778,-0.0024607,1.2055e-021,1,0.02624,0.02624,-0.025,0
-9.0228,-0.33977,0.07424,-9.3736e-021,0.12275,2.1085e-005,3036.4,0.0068144,-0.0024934,1.2054e-021,1,0.026445,0.026445,-0.025,0
-9.0352,-0.35224,0.074121,-9.3752e-021,0.12692,2.1666e-005,3057.2,0.007251,-0.0025261,1.2053e-021,1,0.02665,0.02665,-0.025,0
-9.0475,-0.36473,0.074003,-9.3768e-021,0.13109,2.2247e-005,3078,0.0076875,-0.0025587,1.2051e-021,1,0.026855,0.026855,-0.025,0
-9.0622,-0.37646,0.073571,-3.974e-021,0.13202,2.2626e-005,3105.7,0.0081135,-0.0025811,1.1305e-021,1,0.02706,0.02706,-0.025,0
-9.0769,-0.3882,0.073136,1.4839e-021,0.13293,2.3004e-005,3133.4,0.0085393,-0.0026033,1.0552e-021,1,0.027265,0.027265,-0.025,0
-9.0916,-0.39993,0.072701,6.9437e-021,0.13383,2.3382e-005,3161.2,0.0089651,-0.0026255,9.7988e-022,1,0.02747,0.02747,-0.025,0
-9.107,-0.41132,0.072169,1.0825e-020,0.13578,2.3857e-005,3183.2,0.0094023,-0.0026467,8.3916e-022,1,0.027675,0.027675,-0.025,0
-9.1236,-0.42217,0.071488,1.2278e-020,0.13933,2.448e-005,3196.3,0.0098573,-0.0026662,5.9793e-022,1,0.02788,0.02788,-0.025,0
-9.1401,-0.43303,0.070807,1.3732e-020,0.14289,2.5104e-005,3209.3,0.010312,-0.0026857,3.5674e-022,1,0.028085,0.028085,-0.025,0
-9.1567,-0.44389,0.070125,1.5187e-020,0.14644,2.5728e-005,3222.4,0.010767,-0.0027052,1.1561e-022,1,0.02829,0.02829,-0.025,0
-9.1742,-0.4541,0.069075,1.3359e-020,0.14835,2.6286e-005,3209.4,0.011186,-0.0026914,-1.3674e-022,1,0.028495,0.028495,-0.025,0
-9.192,-0.46411,0.067914,1.0552e-020,0.14976,2.6826e-005,3188.6,0.011595,-0.0026675,-3.924e-022,1,0.0287,0.0287,-0.025,0
-9.2097,-0.47412,0.066753,7.7434e-021,0.15117,2.7365e-005,3167.8,0.012004,-0.0026438,-6.4801e-022,1,0.028905,0.028905,-0.025,0
-9.2276,-0.48404,0.065546,5.2328e-021,0.15208,2.7887e-005,3144.3,0.012405,-0.0026151,-8.6963e-022,1,0.02911,0.02911,-0.025,0
-9.2461,-0.49318,0.063997,4.9555e-021,0.14926,2.8268e-005,3100.7,0.012747,-0.0025499,-8.3748e-022,1,0.029315,0.029315,-0.025,0
-9.2646,-0.50232,0.062448,4.6781e-021,0.14643,2.865e-005,3057,0.013088,-0.0024847,-8.0534e-022,1,0.02952,0.02952,-0.025,0
-9.2831,-0.51147,0.060899,4.4006e-021,0.1436,2.9032e-005,3013.3,0.013429,-0.0024196,-7.732e-022,1,0.029725,0.029725,-0.025,0
-9.3017,-0.52021,0.059374,4.6916e-021,0.14224,2.9498e-005,2985.7,0.013766,-0.0023584,-8.3902e-022,1,0.02993,0.02993,-0.025,0
-9.3203,-0.52843,0.057882,5.7142e-021,0.14277,3.0071e-005,2978.7,0.014098,-0.0023025,-1.0308e-021,1,0.030135,0.030135,-0.025,0
-9.339,-0.53664,0.05639,6.7372e-021,0.1433,3.0645e-005,2971.7,0.01443,-0.0022466,-1.2226e-021,1,0.03034,0.03034,-0.025,0
-9.3577,-0.54486,0.054898,7.7605e-021,0.14383,3.1219e-005,2964.8,0.014762,-0.0021908,-1.4143e-021,1,0.030545,0.030545,-0.025,0
-9.376,-0.55246,0.053607,7.2123e-021,0.1463,3.1838e-005,2971.9,0.015079,-0.0021496,-1.3192e-021,1,0.03075,0.03075,-0.025,0
-9.3942,-0.55982,0.052392,6.077e-021,0.14948,3.2473e-005,2984.4,0.015391,-0.0021138,-1.1172e-021,1,0.030955,0.030955,-0.025,0
-9.4125,-0.56719,0.051176,4.9413e-021,0.15267,3.3108e-005,2996.8,0.015702,-0.0020781,-9.1522e-022,1,0.03116,0.03116,-0.025,0
-9.4307,-0.57455,0.04996,3.8052e-021,0.15586,3.3744e-005,3009.2,0.016014,-0.0020424,-7.1327e-022,1,0.031365,0.031365,-0.025,0
-9.448,-0.58121,0.048699,2.7973e-021,0.1569,3.4364e-005,2984.5,0.016304,-0.0019955,-5.2428e-022,1,0.03157,0.03157,-0.025,0
-9.4654,-0.58786,0.047436,1.7903e-021,0.15792,3.4985e-005,2959.5,0.016594,-0.0019485,-3.3545e-022,1,0.031775,0.031775,-0.025,0
-9.4827,-0.59451,0.046174,7.8293e-022,0.15894,3.5605e-005,2934.5,0.016884,-0.0019015,-1.4666e-022,1,0.03198,0.03198,-0.025,0
-9.4998,-0.60102,0.044881,0,0.15971,3.6217e-005,2913.4,0.017165,-0.0018499,0,1,0.032185,0.032185,-0.025,0
-9.516,-0.60701,0.043484,0,0.15959,3.6796e-005,2906.1,0.017416,-0.0017826,0,1,0.03239,0.03239,-0.025,0
-9.5322,-0.61302,0.042086,0,0.15947,3.7376e-005,2898.8,0.017668,-0.0017153,0,1,0.032595,0.032595,-0.025,0
-9.5484,-0.61902,0.040689,0,0.15935,3.7955e-005,2891.4,0.017919,-0.0016481,0,1,0.0328,0.0328,-0.025,0
-9.5641,-0.62476,0.039394,0,0.1603,3.858e-005,2890.3,0.018169,-0.0015877,0,1,0.033005,0.033005,-0.025,0
-9.579,-0.63015,0.038238,0,0.1627,3.9264e-005,2897.6,0.018417,-0.0015365,0,1,0.03321,0.03321,-0.025,0
-9.594,-0.63554,0.037082,0,0.1651,3.9948e-005,2904.8,0.018665,-0.0014854,0,1,0.033415,0.033415,-0.025,0
-9.609,-0.64093,0.035925,0,0.1675,4.0633e-005,2912,0.018913,-0.0014343,0,1,0.03362,0.03362,-0.025,0
