"p","U:0","U:1","U:2","nuTilda","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
30.154,-1.6209,0.096962,1.7388e-022,0.00010162,0.00010235,0.074114,-0.0059771,0,1,0.01927,0.01927,-0.025,0
30.056,-1.6331,0.093234,4.0208e-022,0.00010233,0.00010317,0.075545,-0.0058036,0,1,0.019475,0.019475,-0.025,0
29.958,-1.6453,0.089506,6.3035e-022,0.00010304,0.00010398,0.076976,-0.00563,0,1,0.01968,0.01968,-0.025,0
29.867,-1.6567,0.085941,8.4736e-022,0.00010372,0.00010476,0.078341,-0.0054572,0,1,0.019885,0.019885,-0.025,0
29.783,-1.6673,0.08257,1.0511e-021,0.00010436,0.00010549,0.079629,-0.0052851,0,1,0.02009,0.02009,-0.025,0
29.699,-1.6779,0.079197,1.255e-021,0.00010501,0.00010623,0.080916,-0.0051131,0,1,0.020295,0.020295,-0.025,0
29.618,-1.6884,0.075867,1.3941e-021,0.00010565,0.00010696,0.082186,-0.0049416,1.6489e-024,1,0.0205,0.0205,-0.025,0
29.548,-1.6975,0.072818,1.106e-021,0.00010626,0.00010764,0.083334,-0.0047736,1.4162e-023,1,0.020705,0.020705,-0.025,0
29.479,-1.7067,0.069769,8.1788e-022,0.00010686,0.00010832,0.084482,-0.0046056,2.6673e-023,1,0.02091,0.02091,-0.025,0
29.409,-1.7159,0.066718,5.2963e-022,0.00010747,0.000109,0.085631,-0.0044377,3.9181e-023,1,0.021115,0.021115,-0.025,0
29.351,-1.7241,0.063891,3.0953e-022,0.00010805,0.00010965,0.086675,-0.004274,4.1956e-023,1,0.02132,0.02132,-0.025,0
29.296,-1.732,0.061125,1.0885e-022,0.00010863,0.0001103,0.087689,-0.0041115,4.1952e-023,1,0.021525,0.021525,-0.025,0
29.24,-1.7399,0.058359,-9.1906e-023,0.0001092,0.00011094,0.088703,-0.003949,4.1948e-023,1,0.02173,0.02173,-0.025,0
29.191,-1.7473,0.055691,-1.437e-022,0.00010977,0.00011157,0.089666,-0.003789,2.7802e-023,1,0.021935,0.021935,-0.025,0
29.149,-1.754,0.053171,3.0133e-023,0.00011033,0.00011219,0.090551,-0.0036325,-7.7497e-024,1,0.02214,0.02214,-0.025,0
29.108,-1.7608,0.050649,2.0403e-022,0.00011089,0.0001128,0.091436,-0.003476,-4.3295e-023,1,0.022345,0.022345,-0.025,0
29.067,-1.7675,0.048127,3.7799e-022,0.00011144,0.00011341,0.092321,-0.0033196,-7.8832e-023,1,0.02255,0.02255,-0.025,0
29.039,-1.7732,0.045813,3.7953e-022,0.00011198,0.000114,0.093084,-0.0031693,-7.9127e-023,1,0.022755,0.022755,-0.025,0
29.011,-1.7788,0.043499,3.796e-022,0.00011252,0.00011459,0.093846,-0.0030191,-7.912e-023,1,0.02296,0.02296,-0.025,0
28.983,-1.7845,0.041185,3.7967e-022,0.00011306,0.00011517,0.094608,-0.002869,-7.9112e-023,1,0.023165,0.023165,-0.025,0
28.962,-1.7896,0.038969,2.6078e-022,0.00011358,0.00011574,0.095303,-0.0027225,-5.3392e-023,1,0.02337,0.02337,-0.025,0
28.947,-1.7943,0.036832,4.7883e-023,0.0001141,0.0001163,0.095946,-0.002579,-7.3691e-024,1,0.023575,0.023575,-0.025,0
28.933,-1.799,0.034694,-1.6509e-022,0.00011462,0.00011686,0.09659,-0.0024355,3.8644e-023,1,0.02378,0.02378,-0.025,0
28.919,-1.8036,0.03257,-3.57e-022,0.00011513,0.00011741,0.097222,-0.0022927,8.0084e-023,1,0.023985,0.023985,-0.025,0
28.916,-1.8074,0.030587,-3.5706e-022,0.00011562,0.00011793,0.097751,-0.0021565,8.0076e-023,1,0.02419,0.02419,-0.025,0
28.913,-1.8113,0.028604,-3.5713e-022,0.00011611,0.00011845,0.098281,-0.0020204,8.0069e-023,1,0.024395,0.024395,-0.025,0
28.91,-1.8151,0.026619,-3.5719e-022,0.0001166,0.00011897,0.098811,-0.0018842,8.0061e-023,1,0.0246,0.0246,-0.025,0
28.914,-1.8184,0.024724,-2.9494e-022,0.00011707,0.00011947,0.099273,-0.0017533,6.6089e-023,1,0.024805,0.024805,-0.025,0
28.923,-1.8213,0.022884,-1.9329e-022,0.00011752,0.00011996,0.099694,-0.0016257,4.3301e-023,1,0.02501,0.02501,-0.025,0
28.931,-1.8243,0.021044,-9.1608e-023,0.00011798,0.00012044,0.10011,-0.001498,2.0516e-023,1,0.025215,0.025215,-0.025,0
28.941,-1.8272,0.019218,9.882e-024,0.00011844,0.00012092,0.10052,-0.0013714,-2.5597e-024,1,0.02542,0.02542,-0.025,0
28.96,-1.8294,0.017524,1.0934e-022,0.00011886,0.00012137,0.10084,-0.0012537,-2.8315e-023,1,0.025625,0.025625,-0.025,0
28.978,-1.8316,0.01583,2.0884e-022,0.00011929,0.00012182,0.10115,-0.0011361,-5.4066e-023,1,0.02583,0.02583,-0.025,0
28.997,-1.8338,0.014135,3.0837e-022,0.00011971,0.00012226,0.10147,-0.0010185,-7.9811e-023,1,0.026035,0.026035,-0.025,0
29.022,-1.8356,0.012526,3.5235e-022,0.00012012,0.00012269,0.10172,-0.00090734,-9.1169e-023,1,0.02624,0.02624,-0.025,0
29.051,-1.8371,0.010986,3.5241e-022,0.00012051,0.00012309,0.10193,-0.00080133,-9.1161e-023,1,0.026445,0.026445,-0.025,0
29.081,-1.8386,0.0094453,3.5247e-022,0.0001209,0.0001235,0.10215,-0.00069534,-9.1152e-023,1,0.02665,0.02665,-0.025,0
29.11,-1.84,0.0079041,3.5253e-022,0.0001213,0.00012391,0.10236,-0.00058937,-9.1143e-023,1,0.026855,0.026855,-0.025,0
29.15,-1.8408,0.0065274,4.4401e-023,0.00012166,0.00012428,0.10247,-0.00049649,-9.4697e-023,1,0.02706,0.02706,-0.025,0
29.19,-1.8416,0.0051518,-2.6687e-022,0.00012202,0.00012465,0.10258,-0.00040375,-9.8286e-023,1,0.027265,0.027265,-0.025,0
29.231,-1.8424,0.0037757,-5.7826e-022,0.00012238,0.00012502,0.10269,-0.00031104,-1.0187e-022,1,0.02747,0.02747,-0.025,0
29.275,-1.843,0.0024668,-8.0784e-022,0.00012272,0.00012537,0.10276,-0.00022454,-9.1874e-023,1,0.027675,0.027675,-0.025,0
29.327,-1.8431,0.0012612,-9.116e-022,0.00012305,0.0001257,0.10278,-0.00014758,-6.0995e-023,1,0.02788,0.02788,-0.025,0
29.379,-1.8433,5.5245e-005,-1.0154e-021,0.00012337,0.00012603,0.1028,-7.0643e-005,-3.0122e-023,1,0.028085,0.028085,-0.025,0
29.43,-1.8434,-0.0011511,-1.1192e-021,0.00012369,0.00012636,0.10282,6.2818e-006,7.4403e-025,1,0.02829,0.02829,-0.025,0
29.491,-1.8431,-0.0022448,-9.8139e-022,0.00012399,0.00012665,0.10277,7.1898e-005,2.9769e-023,1,0.028495,0.028495,-0.025,0
29.554,-1.8426,-0.003305,-7.7137e-022,0.00012427,0.00012693,0.10272,0.00013413,5.8239e-023,1,0.0287,0.0287,-0.025,0
29.617,-1.8421,-0.0043656,-5.6128e-022,0.00012456,0.00012722,0.10266,0.00019635,8.6705e-023,1,0.028905,0.028905,-0.025,0
29.681,-1.8416,-0.0054151,-3.7684e-022,0.00012484,0.0001275,0.10259,0.00025757,1.1242e-022,1,0.02911,0.02911,-0.025,0
29.754,-1.8405,-0.0063788,-3.8481e-022,0.00012509,0.00012774,0.10247,0.00031136,1.1761e-022,1,0.029315,0.029315,-0.025,0
29.827,-1.8394,-0.0073429,-3.9277e-022,0.00012534,0.00012799,0.10236,0.00036513,1.2279e-022,1,0.02952,0.02952,-0.025,0
29.9,-1.8383,-0.0083073,-4.0074e-022,0.00012559,0.00012823,0.10224,0.0004189,1.2798e-022,1,0.029725,0.029725,-0.025,0
29.978,-1.8369,-0.009244,-4.5525e-022,0.00012582,0.00012846,0.10209,0.0004706,1.4766e-022,1,0.02993,0.02993,-0.025,0
30.061,-1.8352,-0.010145,-5.6966e-022,0.00012603,0.00012866,0.10192,0.00051966,1.8598e-022,1,0.030135,0.030135,-0.025,0
30.144,-1.8335,-0.011046,-6.841e-022,0.00012624,0.00012886,0.10174,0.00056871,2.243e-022,1,0.03034,0.03034,-0.025,0
30.227,-1.8318,-0.011948,-7.9859e-022,0.00012645,0.00012907,0.10156,0.00061774,2.6261e-022,1,0.030545,0.030545,-0.025,0
30.316,-1.8297,-0.012818,-7.5082e-022,0.00012665,0.00012925,0.10135,0.00066452,2.4751e-022,1,0.03075,0.03075,-0.025,0
30.408,-1.8274,-0.013675,-6.4244e-022,0.00012683,0.00012942,0.10111,0.00071045,2.1249e-022,1,0.030955,0.030955,-0.025,0
30.501,-1.8251,-0.014533,-5.3403e-022,0.00012701,0.00012959,0.10088,0.00075636,1.7748e-022,1,0.03116,0.03116,-0.025,0
30.593,-1.8228,-0.015392,-4.2557e-022,0.0001272,0.00012976,0.10065,0.00080227,1.4247e-022,1,0.031365,0.031365,-0.025,0
30.693,-1.82,-0.016218,-3.1298e-022,0.00012736,0.00012991,0.10037,0.00084624,1.0476e-022,1,0.03157,0.03157,-0.025,0
30.794,-1.8171,-0.017044,-2.0031e-022,0.00012752,0.00013005,0.10009,0.00089019,6.7027e-023,1,0.031775,0.031775,-0.025,0
30.895,-1.8142,-0.01787,-8.7602e-023,0.00012768,0.00013019,0.099803,0.00093413,2.9305e-023,1,0.03198,0.03198,-0.025,0
30.997,-1.8112,-0.018688,0,0.00012783,0.00013033,0.099509,0.00097743,0,1,0.032185,0.032185,-0.025,0
31.106,-1.8078,-0.019479,0,0.00012796,0.00013044,0.099177,0.0010185,0,1,0.03239,0.03239,-0.025,0
31.215,-1.8044,-0.02027,0,0.00012809,0.00013055,0.098844,0.0010596,0,1,0.032595,0.032595,-0.025,0
31.324,-1.801,-0.021061,0,0.00012822,0.00013066,0.098512,0.0011007,0,1,0.0328,0.0328,-0.025,0
31.436,-1.7973,-0.021836,0,0.00012834,0.00013076,0.09816,0.0011405,0,1,0.033005,0.033005,-0.025,0
31.553,-1.7934,-0.02259,0,0.00012844,0.00013084,0.097781,0.0011783,0,1,0.03321,0.03321,-0.025,0
31.669,-1.7894,-0.023345,0,0.00012854,0.00013092,0.097403,0.0012162,0,1,0.033415,0.033415,-0.025,0
31.786,-1.7855,-0.024099,0,0.00012865,0.000131,0.097025,0.0012541,0,1,0.03362,0.03362,-0.025,0
31.906,-1.7812,-0.024835,0,0.00012873,0.00013107,0.09662,0.0012903,0,1,0.033825,0.033825,-0.025,0
32.03,-1.7767,-0.025557,0,0.0001288,0.00013111,0.096198,0.0013255,0,1,0.03403,0.03403,-0.025,0
32.153,-1.7722,-0.026279,0,0.00012888,0.00013116,0.095777,0.0013607,0,1,0.034235,0.034235,-0.025,0
32.277,-1.7678,-0.027002,0,0.00012895,0.00013121,0.095355,0.0013959,0,1,0.03444,0.03444,-0.025,0
32.405,-1.7629,-0.027701,1.1654e-022,0.000129,0.00013124,0.094903,0.0014291,-4.5153e-023,1,0.034645,0.034645,-0.025,0
32.535,-1.7579,-0.028393,2.7301e-022,0.00012905,0.00013126,0.094441,0.0014617,-1.0575e-022,1,0.03485,0.03485,-0.025,0
32.665,-1.7529,-0.029084,4.2953e-022,0.0001291,0.00013128,0.093979,0.0014943,-1.6633e-022,1,0.035055,0.035055,-0.025,0
32.795,-1.748,-0.029776,5.861e-022,0.00012914,0.0001313,0.093517,0.0015269,-2.269e-022,1,0.03526,0.03526,-0.025,0
32.929,-1.7426,-0.030439,-1.2945e-022,0.00012917,0.00013129,0.093022,0.0015571,-2.3539e-022,1,0.035465,0.035465,-0.025,0
33.065,-1.7371,-0.031098,-9.8798e-022,0.00012919,0.00013128,0.092522,0.0015869,-2.3537e-022,1,0.03567,0.03567,-0.025,0
