"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.4172,0.092324,0.021561,1.0125e-020,0.0010718,8.4015e-007,2265.1,-0.0019973,-0.00080501,9.1055e-022,1,0.01353,0.01353,-0.025,0
-7.4168,0.089063,0.022023,4.2371e-021,0.00095966,7.2958e-007,2271.7,-0.0018556,-0.00080296,3.8096e-022,1,0.013735,0.013735,-0.025,0
-7.4165,0.085703,0.02235,-2.1439e-021,0.0008523,6.2797e-007,2278.1,-0.0017132,-0.0007946,2.4092e-022,1,0.01394,0.01394,-0.025,0
-7.4162,0.08209,0.022331,-9.7875e-021,0.00075716,5.4939e-007,2283.8,-0.0015688,-0.00077005,1.0996e-021,1,0.014145,0.014145,-0.025,0
-7.4159,0.078476,0.022312,-1.7434e-020,0.00066199,4.7078e-007,2289.4,-0.0014244,-0.00074551,1.9581e-021,1,0.01435,0.01435,-0.025,0
-7.4156,0.074831,0.022204,-2.3733e-020,0.00057133,3.9717e-007,2294.8,-0.0012815,-0.00071733,2.6649e-021,1,0.014555,0.014555,-0.025,0
-7.4154,0.071042,0.021681,-2.3737e-020,0.00050178,3.4701e-007,2298.8,-0.0011457,-0.00067219,2.6646e-021,1,0.01476,0.01476,-0.025,0
-7.4153,0.067253,0.021157,-2.3741e-020,0.00043222,2.9683e-007,2302.8,-0.0010099,-0.00062706,2.6643e-021,1,0.014965,0.014965,-0.025,0
-7.4151,0.063464,0.020612,-2.2666e-020,0.00036378,2.4758e-007,2306.6,-0.00087505,-0.00058128,2.555e-021,1,0.01517,0.01517,-0.025,0
-7.415,0.059718,0.019645,-3.6843e-022,0.00031757,2.1699e-007,2308.3,-0.00075949,-0.00052253,3.0145e-022,1,0.015375,0.015375,-0.025,0
-7.4149,0.05597,0.018679,2.1936e-020,0.00027135,1.8638e-007,2309.9,-0.00064395,-0.00046379,-1.9517e-021,1,0.01558,0.01558,-0.025,0
-7.4148,0.052221,0.017711,4.4249e-020,0.00022512,1.5576e-007,2311.5,-0.00052843,-0.00040507,-4.2043e-021,1,0.015785,0.015785,-0.025,0
-7.4147,0.048718,0.016496,3.1708e-020,0.00019491,1.3628e-007,2311,-0.00043874,-0.0003454,-4.4383e-021,1,0.01599,0.01599,-0.025,0
-7.4147,0.045241,0.015251,1.5113e-020,0.00016656,1.181e-007,2310.3,-0.00035206,-0.00028564,-4.4379e-021,1,0.016195,0.016195,-0.025,0
-7.4146,0.041764,0.014006,-1.4868e-021,0.0001382,9.9902e-008,2309.6,-0.00026539,-0.00022588,-4.4374e-021,1,0.0164,0.0164,-0.025,0
-7.4145,0.038626,0.012717,-3.6054e-020,0.00011834,8.7098e-008,2307.3,-0.0001998,-0.0001752,-1.7354e-021,1,0.016605,0.016605,-0.025,0
-7.4144,0.03562,0.011409,-7.7655e-020,0.0001018,7.6399e-008,2304.5,-0.00014245,-0.00012806,2.0218e-021,1,0.01681,0.01681,-0.025,0
-7.4143,0.032613,0.010102,-1.1927e-019,8.5253e-005,6.5696e-008,2301.7,-8.5113e-005,-8.0939e-005,5.7784e-021,1,0.017015,0.017015,-0.025,0
-7.4141,0.029922,0.0088297,-1.3091e-019,7.2501e-005,5.7472e-008,2297.8,-3.8988e-005,-4.2852e-005,7.5908e-021,1,0.01722,0.01722,-0.025,0
-7.414,0.027524,0.0075913,-1.1457e-019,6.3287e-005,5.1563e-008,2292.8,-3.3211e-006,-1.3195e-005,7.5901e-021,1,0.017425,0.017425,-0.025,0
-7.4138,0.025126,0.0063524,-9.8227e-020,5.4071e-005,4.5652e-008,2287.7,3.2339e-005,1.6456e-005,7.5894e-021,1,0.01763,0.01763,-0.025,0
-7.4137,0.022936,0.0051306,-7.8889e-020,4.6176e-005,4.0703e-008,2282.1,6.3889e-005,4.3203e-005,6.91e-021,1,0.017835,0.017835,-0.025,0
-7.4135,0.021256,0.003951,-5.2254e-020,4.1508e-005,3.8106e-008,2275.2,8.5429e-005,6.2875e-005,4.5758e-021,1,0.01804,0.01804,-0.025,0
-7.4133,0.019575,0.002771,-2.561e-020,3.6838e-005,3.5508e-008,2268.2,0.00010696,8.2543e-005,2.242e-021,1,0.018245,0.018245,-0.025,0
-7.4131,0.017927,0.0015902,0,3.2271e-005,3.2982e-008,2261.2,0.00012791,0.0001022,0,1,0.01845,0.01845,-0.025,0
-7.4129,0.017088,0.00039741,0,3.0245e-005,3.2263e-008,2254.2,0.0001346,0.0001218,0,1,0.018655,0.018655,-0.025,0
-7.4127,0.016248,-0.00079575,0,2.8219e-005,3.1544e-008,2247.2,0.00014128,0.00014139,0,1,0.01886,0.01886,-0.025,0
-7.4124,0.015408,-0.0019893,0,2.6192e-005,3.0824e-008,2240.2,0.00014796,0.00016098,0,1,0.019065,0.019065,-0.025,0
-7.4122,0.01529,-0.003224,-2.0948e-020,2.7244e-005,3.3622e-008,2234.7,0.0001404,0.00018496,0,1,0.01927,0.01927,-0.025,0
-7.4119,0.015397,-0.0044719,-4.8439e-020,2.9257e-005,3.752e-008,2229.6,0.00012841,0.00021031,0,1,0.019475,0.019475,-0.025,0
-7.4116,0.015504,-0.0057201,-7.5939e-020,3.127e-005,4.1418e-008,2224.6,0.00011642,0.00023565,0,1,0.01968,0.01968,-0.025,0
-7.4112,0.016051,-0.0070047,-1.0132e-019,3.5038e-005,4.7382e-008,2220.3,9.3853e-005,0.00026516,0,1,0.019885,0.019885,-0.025,0
-7.4109,0.017117,-0.0083317,-1.2421e-019,4.0867e-005,5.5772e-008,2217,5.8868e-005,0.00029956,0,1,0.02009,0.02009,-0.025,0
-7.4105,0.018184,-0.0096593,-1.4711e-019,4.6698e-005,6.4165e-008,2213.7,2.3891e-005,0.00033396,0,1,0.020295,0.020295,-0.025,0
-7.4101,0.019361,-0.010986,-1.6181e-019,5.9386e-005,8.3283e-008,2210.5,-1.4906e-005,0.00036911,-1.8267e-022,1,0.0205,0.0205,-0.025,0
-7.4098,0.021269,-0.012304,-1.2248e-019,0.00011727,1.7307e-007,2208.5,-7.8913e-005,0.00040934,-1.5689e-021,1,0.020705,0.020705,-0.025,0
-7.4094,0.023178,-0.013622,-8.3141e-020,0.00017516,2.629e-007,2206.4,-0.00014291,0.00044955,-2.9549e-021,1,0.02091,0.02091,-0.025,0
-7.409,0.025087,-0.01494,-4.3785e-020,0.00023307,3.5275e-007,2204.3,-0.00020689,0.00048976,-4.3406e-021,1,0.021115,0.021115,-0.025,0
-7.4087,0.027419,-0.015967,-1.7509e-020,0.00034673,5.2906e-007,2203.6,-0.00029368,0.00052521,-4.6482e-021,1,0.02132,0.02132,-0.025,0
-7.4085,0.029872,-0.016911,5.0351e-021,0.00047633,7.3012e-007,2203.2,-0.00038698,0.0005593,-4.6477e-021,1,0.021525,0.021525,-0.025,0
-7.4082,0.032325,-0.017855,2.7587e-020,0.00060597,9.3126e-007,2202.7,-0.00048025,0.00059338,-4.6473e-021,1,0.02173,0.02173,-0.025,0
-7.4081,0.034805,-0.01849,3.1614e-020,0.00077334,1.1831e-006,2202.8,-0.00058078,0.00061923,-3.4597e-021,1,0.021935,0.021935,-0.025,0
-7.4082,0.037325,-0.018657,7.5793e-021,0.00099784,1.5118e-006,2203.6,-0.00069228,0.00063262,-4.7522e-022,1,0.02214,0.02214,-0.025,0
-7.4083,0.039846,-0.018825,-1.6464e-020,0.0012224,1.8405e-006,2204.3,-0.00080377,0.000646,2.5087e-021,1,0.022345,0.022345,-0.025,0
-7.4083,0.042367,-0.018992,-4.0515e-020,0.001447,2.1694e-006,2205.1,-0.00091523,0.00065939,5.4919e-021,1,0.02255,0.02255,-0.025,0
-7.4088,0.044489,-0.018319,-4.0727e-020,0.0017248,2.5384e-006,2206.5,-0.0010248,0.00064473,5.5168e-021,1,0.022755,0.022755,-0.025,0
-7.4093,0.046607,-0.01764,-4.0734e-020,0.0020031,2.908e-006,2207.9,-0.0011343,0.00062983,5.5163e-021,1,0.02296,0.02296,-0.025,0
-7.4098,0.048727,-0.01696,-4.0741e-020,0.0022815,3.2776e-006,2209.4,-0.0012438,0.00061493,5.5157e-021,1,0.023165,0.023165,-0.025,0
-7.4105,0.050445,-0.015951,-3.0219e-020,0.0025068,3.5569e-006,2211.2,-0.0013409,0.0005866,3.9137e-021,1,0.02337,0.02337,-0.025,0
-7.4113,0.051847,-0.014684,-1.1373e-020,0.0026903,3.7647e-006,2213.2,-0.0014283,0.00054767,1.0472e-021,1,0.023575,0.023575,-0.025,0
-7.4121,0.053248,-0.013415,7.4785e-021,0.0028738,3.9726e-006,2215.3,-0.0015156,0.00050874,-1.8187e-021,1,0.02378,0.02378,-0.025,0
-7.4129,0.054566,-0.012131,2.4466e-020,0.0030432,4.1613e-006,2217.4,-0.0015995,0.00046872,-4.3998e-021,1,0.023985,0.023985,-0.025,0
-7.4137,0.055111,-0.010698,2.447e-020,0.0030841,4.1745e-006,2219.6,-0.0016524,0.00041873,-4.3994e-021,1,0.02419,0.02419,-0.025,0
-7.4146,0.055657,-0.0092643,2.4475e-020,0.003125,4.1877e-006,2221.9,-0.0017054,0.00036874,-4.3989e-021,1,0.024395,0.024395,-0.025,0
-7.4154,0.056203,-0.0078304,2.4479e-020,0.0031659,4.2009e-006,2224.2,-0.0017584,0.00031876,-4.3985e-021,1,0.0246,0.0246,-0.025,0
-7.4161,0.056247,-0.0065451,2.0213e-020,0.003149,4.1454e-006,2226.6,-0.0017901,0.00027109,-3.6309e-021,1,0.024805,0.024805,-0.025,0
-7.4168,0.055974,-0.0053536,1.3247e-020,0.0030956,4.0466e-006,2229,-0.0018083,0.00022489,-2.3789e-021,1,0.02501,0.02501,-0.025,0
-7.4175,0.0557,-0.0041617,6.2781e-021,0.0030421,3.9477e-006,2231.5,-0.0018266,0.00017869,-1.1272e-021,1,0.025215,0.025215,-0.025,0
-7.4182,0.055359,-0.0030105,-3.1608e-022,0.0029879,3.845e-006,2234.1,-0.0018422,0.00013394,1.2205e-022,1,0.02542,0.02542,-0.025,0
-7.4186,0.054398,-0.0022327,-3.4973e-021,0.0029276,3.7075e-006,2238.2,-0.0018341,0.00010224,1.3501e-021,1,0.025625,0.025625,-0.025,0
-7.4191,0.053437,-0.0014545,-6.6797e-021,0.0028673,3.5699e-006,2242.3,-0.001826,7.0548e-005,2.578e-021,1,0.02583,0.02583,-0.025,0
-7.4196,0.052476,-0.00067613,-9.8632e-021,0.002807,3.4322e-006,2246.5,-0.0018178,3.8863e-005,3.8056e-021,1,0.026035,0.026035,-0.025,0
-7.42,0.051148,-8.5511e-005,-1.127e-020,0.0027851,3.3131e-006,2251.8,-0.0018018,1.869e-005,4.3471e-021,1,0.02624,0.02624,-0.025,0
-7.4203,0.04953,0.00035667,-1.1272e-020,0.0027935,3.2087e-006,2258.2,-0.0017794,7.6142e-006,4.3467e-021,1,0.026445,0.026445,-0.025,0
-7.4207,0.047911,0.00079901,-1.1274e-020,0.0028019,3.1042e-006,2264.5,-0.0017571,-3.4595e-006,4.3463e-021,1,0.02665,0.02665,-0.025,0
-7.421,0.046292,0.0012415,-1.1276e-020,0.0028104,2.9996e-006,2270.9,-0.0017348,-1.4531e-005,4.3459e-021,1,0.026855,0.026855,-0.025,0
-7.4214,0.043828,0.001578,3.4605e-020,0.0029378,2.9878e-006,2279.6,-0.0017115,-3.5216e-006,4.3973e-021,1,0.02706,0.02706,-0.025,0
-7.4217,0.041355,0.0019136,8.0954e-020,0.0030664,2.9769e-006,2288.3,-0.0016882,7.7028e-006,4.4492e-021,1,0.027265,0.027265,-0.025,0
-7.4221,0.038881,0.0022493,1.2732e-019,0.0031951,2.9659e-006,2297,-0.0016648,1.8925e-005,4.5011e-021,1,0.02747,0.02747,-0.025,0
-7.4225,0.035867,0.0027255,1.5682e-019,0.0033787,2.9708e-006,2307.5,-0.0016441,3.6732e-005,4.0343e-021,1,0.027675,0.027675,-0.025,0
-7.423,0.032021,0.0034177,1.6037e-019,0.0036469,2.9999e-006,2320.7,-0.0016273,6.4658e-005,2.7706e-021,1,0.02788,0.02788,-0.025,0
-7.4234,0.028175,0.0041102,1.6393e-019,0.0039152,3.029e-006,2333.9,-0.0016105,9.2579e-005,1.5071e-021,1,0.028085,0.028085,-0.025,0
-7.4239,0.024327,0.0048029,1.6749e-019,0.0041835,3.0582e-006,2347.1,-0.0015937,0.00012049,2.4391e-022,1,0.02829,0.02829,-0.025,0
-7.4246,0.019182,0.0060159,1.3553e-019,0.0045955,3.1327e-006,2362.5,-0.0015792,0.00014766,-1.0018e-021,1,0.028495,0.028495,-0.025,0
-7.4254,0.013649,0.0073846,9.2957e-020,0.0050503,3.2207e-006,2378.6,-0.0015654,0.0001746,-2.2421e-021,1,0.0287,0.0287,-0.025,0
-7.4261,0.0081141,0.0087537,5.0372e-020,0.0055054,3.3088e-006,2394.7,-0.0015516,0.00020153,-3.4821e-021,1,0.028905,0.028905,-0.025,0
-7.4269,0.00241,0.010199,1.4101e-020,0.0060098,3.4177e-006,2410.5,-0.0015362,0.00022446,-4.5891e-021,1,0.02911,0.02911,-0.025,0
-7.4278,-0.0045471,0.012214,2.5151e-020,0.006883,3.6822e-006,2424.2,-0.0015087,0.0002175,-4.7034e-021,1,0.029315,0.029315,-0.025,0
-7.4288,-0.011507,0.01423,3.6204e-020,0.0077564,3.9468e-006,2438,-0.0014813,0.00021053,-4.8176e-021,1,0.02952,0.02952,-0.025,0
-7.4297,-0.018469,0.016247,4.7262e-020,0.0086301,4.2115e-006,2451.7,-0.0014539,0.00020357,-4.9317e-021,1,0.029725,0.029725,-0.025,0
-7.4306,-0.025945,0.018544,6.2089e-020,0.0098379,4.5796e-006,2463.6,-0.0014056,0.0001676,-5.6833e-021,1,0.02993,0.02993,-0.025,0
-7.4315,-0.034083,0.021202,8.1766e-020,0.011476,5.0807e-006,2473.1,-0.0013307,9.4341e-005,-7.2546e-021,1,0.030135,0.030135,-0.025,0
-7.4324,-0.042224,0.023861,1.0145e-019,0.013114,5.582e-006,2482.6,-0.0012558,2.1094e-005,-8.8256e-021,1,0.03034,0.03034,-0.025,0
-7.4333,-0.050368,0.026521,1.2114e-019,0.014752,6.0835e-006,2492.1,-0.0011808,-5.2139e-005,-1.0396e-020,1,0.030545,0.030545,-0.025,0
-7.4342,-0.059579,0.029301,1.1608e-019,0.01752,6.7361e-006,2498.9,-0.0010386,-0.00015561,-9.8497e-021,1,0.03075,0.03075,-0.025,0
-7.4351,-0.069191,0.032126,1.0178e-019,0.020709,7.4454e-006,2504.8,-0.00087122,-0.00027035,-8.5129e-021,1,0.030955,0.030955,-0.025,0
-7.436,-0.078807,0.034952,8.7476e-020,0.023899,8.1549e-006,2510.7,-0.00070388,-0.00038507,-7.1764e-021,1,0.03116,0.03116,-0.025,0
-7.4369,-0.088425,0.037778,7.3164e-020,0.027089,8.8647e-006,2516.6,-0.00053658,-0.00049977,-5.8402e-021,1,0.031365,0.031365,-0.025,0
-7.4386,-0.099525,0.040231,5.3839e-020,0.03343,9.8503e-006,2519.5,-0.00027744,-0.00060838,-4.295e-021,1,0.03157,0.03157,-0.025,0
