"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.9503,-0.42642,0.035219,-4.8183e-021,176.73,0.48354,0.00011278,0.019262,-0.0019042,-3.3813e-022,1,0.02091,0.02091,-0.025,0
-8.9632,-0.43226,0.034836,-2.4592e-021,180.64,0.4906,0.00011395,0.019683,-0.0018968,-4.967e-022,1,0.021115,0.021115,-0.025,0
-8.976,-0.43791,0.034443,-8.1858e-022,184.58,0.49759,0.0001151,0.020101,-0.0018875,-5.3189e-022,1,0.02132,0.02132,-0.025,0
-8.9886,-0.44352,0.034047,6.1713e-022,188.54,0.50458,0.00011626,0.020518,-0.0018776,-5.3184e-022,1,0.021525,0.021525,-0.025,0
-9.0013,-0.44912,0.03365,2.0533e-021,192.49,0.51156,0.00011741,0.020936,-0.0018677,-5.3179e-022,1,0.02173,0.02173,-0.025,0
-9.0138,-0.45464,0.033251,1.9524e-021,196.46,0.51851,0.00011855,0.02135,-0.001857,-3.4958e-022,1,0.021935,0.021935,-0.025,0
-9.0261,-0.46002,0.032849,-4.7709e-022,200.45,0.5254,0.00011969,0.021762,-0.0018451,1.0835e-022,1,0.02214,0.02214,-0.025,0
-9.0383,-0.4654,0.032448,-2.9074e-021,204.44,0.53229,0.00012082,0.022173,-0.0018332,5.6618e-022,1,0.022345,0.022345,-0.025,0
-9.0506,-0.47079,0.032046,-5.3385e-021,208.43,0.53919,0.00012195,0.022584,-0.0018213,1.0239e-021,1,0.02255,0.02255,-0.025,0
-9.0623,-0.47594,0.031646,-5.3601e-021,212.44,0.54598,0.00012306,0.022988,-0.0018079,1.0277e-021,1,0.022755,0.022755,-0.025,0
-9.0741,-0.4811,0.031246,-5.3611e-021,216.46,0.55278,0.00012418,0.023392,-0.0017945,1.0276e-021,1,0.02296,0.02296,-0.025,0
-9.0858,-0.48626,0.030846,-5.362e-021,220.47,0.55957,0.00012529,0.023796,-0.0017811,1.0275e-021,1,0.023165,0.023165,-0.025,0
-9.0973,-0.49129,0.03045,-3.6924e-021,224.49,0.5663,0.00012638,0.024196,-0.0017671,7.0022e-022,1,0.02337,0.02337,-0.025,0
